Address: 20, tag: 0, index: 5, result: Compulsory miss
Address: 2, tag: 0, index: 0, result: Hit
Address: 22, tag: 0, index: 5, result: Compulsory miss
Address: 4, tag: 0, index: 1, result: Compulsory miss
Address: 22, tag: 0, index: 5, result: Compulsory miss
Address: 10, tag: 0, index: 2, result: Compulsory miss
Address: 5, tag: 0, index: 1, result: Compulsory miss
Address: 5, tag: 0, index: 1, result: Compulsory miss
Address: 4, tag: 0, index: 1, result: Compulsory miss
Address: 1, tag: 0, index: 0, result: Hit
Address: 15, tag: 0, index: 3, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 6, tag: 0, index: 1, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 8, tag: 0, index: 2, result: Compulsory miss
Address: 2, tag: 0, index: 0, result: Hit
Address: 16, tag: 0, index: 4, result: Compulsory miss
Address: 9, tag: 0, index: 2, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 10, tag: 0, index: 2, result: Compulsory miss
Address: 3, tag: 0, index: 0, result: Hit
Address: 21, tag: 0, index: 5, result: Compulsory miss
Address: 5, tag: 0, index: 1, result: Compulsory miss
Address: 12, tag: 0, index: 3, result: Compulsory miss
Address: 28, tag: 0, index: 7, result: Compulsory miss
Address: 8, tag: 0, index: 2, result: Compulsory miss
Address: 19, tag: 0, index: 4, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 24, tag: 0, index: 6, result: Compulsory miss
Address: 3, tag: 0, index: 0, result: Hit
Address: 14, tag: 0, index: 3, result: Compulsory miss
Address: 4, tag: 0, index: 1, result: Compulsory miss
Address: 2, tag: 0, index: 0, result: Hit
Address: 30, tag: 0, index: 7, result: Compulsory miss
Address: 10, tag: 0, index: 2, result: Compulsory miss
Address: 10, tag: 0, index: 2, result: Compulsory miss
Address: 10, tag: 0, index: 2, result: Compulsory miss
Address: 11, tag: 0, index: 2, result: Compulsory miss
Address: 26, tag: 0, index: 6, result: Compulsory miss
Address: 4, tag: 0, index: 1, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 26, tag: 0, index: 6, result: Compulsory miss
Address: 7, tag: 0, index: 1, result: Compulsory miss
Address: 13, tag: 0, index: 3, result: Compulsory miss
Address: 26, tag: 0, index: 6, result: Compulsory miss
Address: 16, tag: 0, index: 4, result: Compulsory miss
Address: 25, tag: 0, index: 6, result: Compulsory miss
Address: 3, tag: 0, index: 0, result: Hit
Address: 24, tag: 0, index: 6, result: Compulsory miss
Address: 16, tag: 0, index: 4, result: Compulsory miss
Address: 10, tag: 0, index: 2, result: Compulsory miss
Address: 3, tag: 0, index: 0, result: Hit
Address: 1, tag: 0, index: 0, result: Hit
Address: 20, tag: 0, index: 5, result: Compulsory miss
Address: 27, tag: 0, index: 6, result: Compulsory miss
Address: 9, tag: 0, index: 2, result: Compulsory miss
Address: 29, tag: 0, index: 7, result: Compulsory miss
Address: 25, tag: 0, index: 6, result: Compulsory miss
Address: 26, tag: 0, index: 6, result: Compulsory miss
Address: 20, tag: 0, index: 5, result: Compulsory miss
Address: 18, tag: 0, index: 4, result: Compulsory miss
Address: 2, tag: 0, index: 0, result: Hit
Address: 2, tag: 0, index: 0, result: Hit
Address: 5, tag: 0, index: 1, result: Compulsory miss
Address: 1, tag: 0, index: 0, result: Hit
Address: 17, tag: 0, index: 4, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 12, tag: 0, index: 3, result: Compulsory miss
Address: 26, tag: 0, index: 6, result: Compulsory miss
Address: 10, tag: 0, index: 2, result: Compulsory miss
Address: 15, tag: 0, index: 3, result: Compulsory miss
Address: 19, tag: 0, index: 4, result: Compulsory miss
Address: 1, tag: 0, index: 0, result: Hit
Address: 25, tag: 0, index: 6, result: Compulsory miss
Address: 11, tag: 0, index: 2, result: Compulsory miss
Address: 1, tag: 0, index: 0, result: Hit
Address: 12, tag: 0, index: 3, result: Compulsory miss
Address: 25, tag: 0, index: 6, result: Compulsory miss
Address: 8, tag: 0, index: 2, result: Compulsory miss
Address: 31, tag: 0, index: 7, result: Compulsory miss
Address: 2, tag: 0, index: 0, result: Hit
Address: 15, tag: 0, index: 3, result: Compulsory miss
Address: 11, tag: 0, index: 2, result: Compulsory miss
